brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
dunkin donuts,0,15,0,2,0,0,23,4,2,0,46,5,False,True,Dunkin' Donuts
i watch straps batteries center,0,0,0,0,0,0,0,45,0,0,45,1,False,False,I-WATCH STRAPS BATTERIES CENTER
moto,0,1,0,0,0,0,13,31,0,0,45,3,False,True,MOTO
memo,0,6,2,0,1,1,3,32,0,0,45,6,False,True,MEMO
watch republic,1,7,1,0,0,1,6,28,0,0,44,6,False,True,WATCH REPUBLIC
onesimus,0,5,1,0,0,0,7,31,0,0,44,4,False,True,ONESIMUS
waltermart supermarket,0,1,0,0,0,0,0,0,0,43,44,2,False,True,WalterMart Supermarket
beauche international,0,2,0,0,0,0,4,34,0,4,44,4,False,True,BEAUCHE INTERNATIONAL
coco fresh tea and juice,0,0,1,0,1,0,0,42,0,0,44,3,False,True,COCO FRESH TEA AND JUICE
lets face it,0,3,1,0,0,0,2,38,0,0,44,4,False,True,LETS FACE IT
silverworks,0,4,0,1,1,0,4,34,0,0,44,5,False,True,SILVERWORKS
macbeth,1,0,0,0,0,0,5,37,0,0,43,3,False,True,MACBETH
potato giant,0,11,1,0,1,0,14,16,0,0,43,5,False,True,POTATO GIANT
hap chan,0,10,0,0,2,0,8,13,0,10,43,5,False,True,HAP CHAN
datablitz,0,15,1,0,2,0,4,20,0,0,42,5,False,True,DATABLITZ
vision express,1,10,0,0,3,1,4,23,0,0,42,6,False,True,VISION EXPRESS
acer,0,6,1,0,0,1,6,28,0,0,42,5,False,True,ACER
china bank,0,5,0,0,0,0,0,34,0,3,42,3,False,True,CHINA BANK
paras alter station,0,6,0,1,1,0,10,24,0,0,42,5,False,True,PARAS ALTER STATION
giordano,2,6,1,0,1,1,3,27,0,0,41,7,False,True,GIORDANO
mustela,0,13,0,0,3,1,4,20,0,0,41,5,False,True,MUSTELA
xundd,0,2,1,0,0,0,4,34,0,0,41,4,False,True,XUNDD
llao llao,0,0,1,0,2,0,6,32,0,0,41,4,False,True,LLAO LLAO
robinsons department store,0,3,1,0,0,0,37,0,0,0,41,3,False,True,Robinsons Department Store
7eleven,3,8,1,0,15,0,1,11,0,2,41,7,False,True,7-Eleven
gq barbershop,0,1,0,1,0,0,1,37,0,1,41,5,False,True,GQ BARBERSHOP
bagel girl,0,0,0,0,0,0,0,41,0,0,41,1,False,False,BAGEL GIRL
travel club,0,10,1,0,2,2,8,17,0,0,40,6,False,True,THE TRAVEL CLUB
hush puppies,2,9,1,0,4,1,5,18,0,0,40,7,False,True,HUSH PUPPIES
unisilver time,0,1,0,0,0,0,6,27,2,4,40,5,False,True,UNISILVER TIME
penshoppe accessories,0,2,0,0,0,0,3,35,0,0,40,3,False,True,PENSHOPPE ACCESSORIES
zarks burgers,0,0,0,0,0,0,1,38,0,0,39,2,False,True,ZARKS BURGERS
office warehouse,3,5,1,0,2,1,5,20,1,1,39,9,False,True,OFFICE WAREHOUSE
toys r us,0,19,1,0,3,1,15,0,0,0,39,5,False,True,TOYS R US
coffee bean & tea leaf,0,18,2,0,7,2,7,2,0,0,38,6,False,True,THE COFFEE BEAN & TEA LEAF
s&r new york style pizza,0,8,1,0,0,0,8,12,0,9,38,5,False,True,S&R NEW YORK STYLE PIZZA
buffalos wings n things,0,4,1,0,1,1,1,30,0,0,38,6,False,True,BUFFALO'S WINGS N' THINGS
quickly,0,6,0,0,0,1,7,21,0,3,38,5,False,True,QUICKLY
body shop,1,5,1,0,2,0,1,28,0,0,38,6,False,True,THE BODY SHOP
timezone,0,24,1,0,2,1,5,4,0,1,38,7,False,True,TIMEZONE
chris sports,0,9,0,0,0,1,1,26,0,0,37,4,False,True,CHRIS SPORTS
