brand_key,display_name,chain,mall_id,mall_name,region
george and onnies filipino restaurant,GEORGE AND ONNIE'S FILIPINO RESTAURANT,sm,sm-megamall,SM Megamall,metro-manila
galerie francesca,GALERIE FRANCESCA,sm,sm-megamall,SM Megamall,metro-manila
galeria lienzo,GALERIA LIENZO,ayala,ayala-serendra,Shops at Serendra,metro-manila
galeria anna,Galeria Anna,filinvest,festival-mall,Festival Mall,metro-manila
gaille and george,GAILLE AND GEORGE,ayala,ayala-feliz,Ayala Malls Feliz,metro-manila
gaea crystal and gemstone jewelry,GAEA - CRYSTAL AND GEMSTONE JEWELRY,ayala,ayala-glorietta,Glorietta,metro-manila
gadze tech,Gadze Tech,robinsons,robinsons-valencia,Robinsons Place Valencia,mindanao
gadgetway,GADGETWAY,waltermart,sucat,WalterMart Sucat,metro-manila
gadget planet,Gadget Planet,waltermart,trece-martires,WalterMart Trece Martires,south-luzon
gadget one,Gadget One,robinsons,robinsons-malolos,Robinsons Place Malolos,north-luzon
gadget hub,Gadget Hub,waltermart,san-fernando,WalterMart San Fernando,north-luzon
gadget get,Gadget Get,ortigas,greenhills,Greenhills,metro-manila
gadget express,GADGET EXPRESS,sm,sm-city-urdaneta-central,SM City Urdaneta Central,north-luzon
giga natural,GIGA Natural,robinsons,robinsons-ilocos,Robinsons Place Ilocos,north-luzon
giga matrix,GIGA MATRIX,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
giftbox ph,Giftbox.ph,araneta,farmers-plaza,Farmers Plaza,metro-manila
gidcels travel tours,GIDCELS TRAVEL TOURS,sm,sm-city-iloilo,SM City Iloilo,visayas
gibi shoes,Gibi Shoes,megaworld,lucky-chinatown-mall,Lucky Chinatown Mall,metro-manila
gibi house,GIBI HOUSE,starmall,alabang,Starmall Alabang,metro-manila
giardini del sole,GIARDINI DEL SOLE,sm,sm-seaside-city-cebu,SM Seaside City Cebu,visayas
giant,GIANT,ortigas,greenhills,Greenhills,metro-manila
ghostrecon cyberhub internet,GHOSTRECON CYBERHUB INTERNET,sm,sm-city-davao,SM City Davao,mindanao
gh mobile phones and accessories store,GH MOBILE PHONES AND ACCESSORIES STORE,sm,sm-city-iloilo,SM City Iloilo,visayas
gh minicon,GH Minicon,ortigas,greenhills,Greenhills,metro-manila
g style,G-STYLE,robinsons,robinsons-cainta,Robinsons Cainta,metro-manila
g s p money changer,G.S.P. MONEY CHANGER,ayala,ayala-the-district-imus,The District Imus,south-luzon
